Place Name,County,Latitude,Longitude
Dublin City Centre,Dublin,53.348368,-6.2538611
Temple Bar,Dublin,53.3449379,-6.2674731
Trinity College,Dublin,53.3437935,-6.2545716
St. Stephen's Green,Dublin,53.3369532,-6.259999
Phoenix Park,Dublin,53.3558823,-6.3298133
Dublin Castle,Dublin,53.34288609999999,-6.2674284
Grafton Street,Dublin,53.3416362,-6.2601859
O'Connell Street,Dublin,53.3511781,-6.260969
Howth,Dublin,53.3801223,-6.0575651
Rathmines,Dublin,53.3218816,-6.2655052
Drumcondra,Dublin,53.3675992,-6.2554578
Sandyford,Dublin,53.27896980000001,-6.2163425
Blackrock,Dublin,53.3498053,-6.2603097
Dún Laoghaire,Dublin,53.2949656,-6.142669
Merrion Square,Dublin,53.3390471,-6.2499832
Kilmainham,Dublin,53.3430611,-6.3215398
Ranelagh,Dublin,53.3252667,-6.2549962
Donnybrook,Dublin,53.322876,-6.2381415
Ballsbridge,Dublin,53.3288697,-6.2305235
Clontarf,Dublin,53.3498053,-6.2603097
Finglas,Dublin,53.390325,-6.2984007
Raheny,Dublin,53.3804065,-6.1750943
Coolock,Dublin,53.3498053,-6.2603097
Portobello,Dublin,53.3362358,-6.2689663
Stoneybatter,Dublin,53.3522616,-6.2889451
Phibsborough,Dublin,53.36080949999999,-6.2726951
Cork City Centre,Cork,51.8982852,-8.472575
Douglas,Cork,51.8711662,-8.4242008
Ballincollig,Cork,51.888026,-8.5949041
Wilton,Cork,51.8740038,-8.5063604
Blackpool,Cork,51.9141606,-8.4739568
Ballintemple,Cork,51.8953634,-8.4343003
Carrigaline,Cork,51.81644009999999,-8.3912667
Fota,Cork,51.899167,-8.298333
Cobh,Cork,51.8530415,-8.2950905
Blarney,Cork,51.9338275,-8.5612438
Macroom,Cork,51.9047559,-8.9583784
Fermoy,Cork,52.1378017,-8.2752606
Mallow,Cork,52.13897619999999,-8.6539164
Midleton,Cork,51.9143321,-8.1726276
Skibbereen,Cork,51.55592439999999,-9.2621303
Kinsale,Cork,51.7058853,-8.5222327
Rathcormac,Cork,52.07613,-8.28176
Bandon,Cork,51.7454716,-8.7349449
Youghal,Cork,51.9542704,-7.8471707
Carrigtwohill,Cork,51.9094919,-8.2589402
Cork Airport,Cork,51.8490591,-8.4898845
Glanmire,Cork,51.9177097,-8.3981691
Gurranabraher,Cork,51.9034612,-8.490449
Little Island,Cork,51.90219,-8.35128
Shandon,Cork,51.9028331,-8.4763824
Galway City Centre,Galway,53.274001,-9.0512662
Salthill,Galway,53.2625652,-9.0704274
Oranmore,Galway,53.2647506,-8.9297335
Clifden,Galway,53.4891345,-10.0202388
Athenry,Galway,53.30075369999999,-8.745493
Tuam,Galway,53.5141156,-8.8565177
Castlegar,Galway,53.2981194,-9.021381
Knocknacarra,Galway,53.2675267,-9.1123975
Gort,Galway,53.0666432,-8.8187486
Ballinasloe,Galway,53.3281251,-8.2236807
Loughrea,Galway,53.1990527,-8.5651876
Moycullen,Galway,53.3387481,-9.1814776
Oughterard,Galway,53.42854810000001,-9.3189472
Barna,Galway,53.2506642,-9.1551345
Carnmore,Galway,53.3177095,-8.8895082
