id,route_id,route_name,county,pickup_day,pickup_duration_min,num_stops,place_pickup_times
0,R001,Route A,Wicklow,Thursday,43,21,"[{""place"": ""Tintern"", ""pickup_time"": ""07:00""}, {""place"": ""Kilpedder"", ""pickup_time"": ""07:11""}, {""place"": ""Brittas Bay"", ""pickup_time"": ""07:24""}, {""place"": ""Carnew"", ""pickup_time"": ""07:39""}, {""place"": ""Newtownmountkennedy"", ""pickup_time"": ""07:50""}, {""place"": ""Baltinglass"", ""pickup_time"": ""07:58""}, {""place"": ""Bray"", ""pickup_time"": ""08:09""}, {""place"": ""Rathdrum"", ""pickup_time"": ""08:14""}, {""place"": ""Ballygar"", ""pickup_time"": ""08:24""}, {""place"": ""Glendalough"", ""pickup_time"": ""08:33""}, {""place"": ""Hollywood"", ""pickup_time"": ""08:39""}, {""place"": ""Greystones"", ""pickup_time"": ""08:53""}, {""place"": ""Kilcoole"", ""pickup_time"": ""08:58""}, {""place"": ""Dunlavin"", ""pickup_time"": ""09:06""}, {""place"": ""Ballymore"", ""pickup_time"": ""09:17""}, {""place"": ""Ballygannon"", ""pickup_time"": ""09:25""}, {""place"": ""Arklow"", ""pickup_time"": ""09:37""}, {""place"": ""Roundwood"", ""pickup_time"": ""09:43""}, {""place"": ""Kilmacanogue"", ""pickup_time"": ""09:50""}, {""place"": ""Glencree"", ""pickup_time"": ""10:05""}, {""place"": ""Aughrim"", ""pickup_time"": ""10:18""}]"
1,R001,Route A,Wicklow,Wednesday,68,21,"[{""place"": ""Tintern"", ""pickup_time"": ""07:00""}, {""place"": ""Kilpedder"", ""pickup_time"": ""07:11""}, {""place"": ""Brittas Bay"", ""pickup_time"": ""07:23""}, {""place"": ""Carnew"", ""pickup_time"": ""07:30""}, {""place"": ""Newtownmountkennedy"", ""pickup_time"": ""07:42""}, {""place"": ""Baltinglass"", ""pickup_time"": ""07:54""}, {""place"": ""Bray"", ""pickup_time"": ""08:04""}, {""place"": ""Rathdrum"", ""pickup_time"": ""08:19""}, {""place"": ""Ballygar"", ""pickup_time"": ""08:29""}, {""place"": ""Glendalough"", ""pickup_time"": ""08:44""}, {""place"": ""Hollywood"", ""pickup_time"": ""08:55""}, {""place"": ""Greystones"", ""pickup_time"": ""09:06""}, {""place"": ""Kilcoole"", ""pickup_time"": ""09:17""}, {""place"": ""Dunlavin"", ""pickup_time"": ""09:23""}, {""place"": ""Ballymore"", ""pickup_time"": ""09:34""}, {""place"": ""Ballygannon"", ""pickup_time"": ""09:48""}, {""place"": ""Arklow"", ""pickup_time"": ""09:54""}, {""place"": ""Roundwood"", ""pickup_time"": ""10:07""}, {""place"": ""Kilmacanogue"", ""pickup_time"": ""10:13""}, {""place"": ""Glencree"", ""pickup_time"": ""10:20""}, {""place"": ""Aughrim"", ""pickup_time"": ""10:35""}]"
2,R002,Route B,Mayo,Tuesday,118,19,"[{""place"": ""Ballintubber"", ""pickup_time"": ""13:30""}, {""place"": ""Lecanvey"", ""pickup_time"": ""13:37""}, {""place"": ""Belderrig"", ""pickup_time"": ""13:51""}, {""place"": ""Claremorris"", ""pickup_time"": ""13:56""}, {""place"": ""Westport"", ""pickup_time"": ""14:01""}, {""place"": ""Crossmolina"", ""pickup_time"": ""14:13""}, {""place"": ""Islandeady"", ""pickup_time"": ""14:24""}, {""place"": ""Bangor Erris"", ""pickup_time"": ""14:36""}, {""place"": ""Newport"", ""pickup_time"": ""14:51""}, {""place"": ""Ballina"", ""pickup_time"": ""15:02""}, {""place"": ""Belmullet"", ""pickup_time"": ""15:14""}, {""place"": ""Mulranny"", ""pickup_time"": ""15:28""}, {""place"": ""Kiltimagh"", ""pickup_time"": ""15:42""}, {""place"": ""Ballycastle"", ""pickup_time"": ""15:48""}, {""place"": ""Ballyfarnon"", ""pickup_time"": ""16:00""}, {""place"": ""Foxford"", ""pickup_time"": ""16:09""}, {""place"": ""Ballyglass"", ""pickup_time"": ""16:22""}, {""place"": ""Ballyhaunis"", ""pickup_time"": ""16:37""}, {""place"": ""Louisburgh"", ""pickup_time"": ""16:52""}]"
3,R002,Route B,Mayo,Wednesday,106,19,"[{""place"": ""Ballintubber"", ""pickup_time"": ""13:30""}, {""place"": ""Lecanvey"", ""pickup_time"": ""13:41""}, {""place"": ""Belderrig"", ""pickup_time"": ""13:50""}, {""place"": ""Claremorris"", ""pickup_time"": ""14:04""}, {""place"": ""Westport"", ""pickup_time"": ""14:18""}, {""place"": ""Crossmolina"", ""pickup_time"": ""14:26""}, {""place"": ""Islandeady"", ""pickup_time"": ""14:36""}, {""place"": ""Bangor Erris"", ""pickup_time"": ""14:44""}, {""place"": ""Newport"", ""pickup_time"": ""14:50""}, {""place"": ""Ballina"", ""pickup_time"": ""14:58""}, {""place"": ""Belmullet"", ""pickup_time"": ""15:04""}, {""place"": ""Mulranny"", ""pickup_time"": ""15:13""}, {""place"": ""Kiltimagh"", ""pickup_time"": ""15:25""}, {""place"": ""Ballycastle"", ""pickup_time"": ""15:30""}, {""place"": ""Ballyfarnon"", ""pickup_time"": ""15:41""}, {""place"": ""Foxford"", ""pickup_time"": ""15:46""}, {""place"": ""Ballyglass"", ""pickup_time"": ""15:58""}, {""place"": ""Ballyhaunis"", ""pickup_time"": ""16:10""}, {""place"": ""Louisburgh"", ""pickup_time"": ""16:25""}]"
4,R002,Route B,Mayo,Sunday,57,19,"[{""place"": ""Ballintubber"", ""pickup_time"": ""13:30""}, {""place"": ""Lecanvey"", ""pickup_time"": ""13:37""}, {""place"": ""Belderrig"", ""pickup_time"": ""13:47""}, {""place"": ""Claremorris"", ""pickup_time"": ""13:59""}, {""place"": ""Westport"", ""pickup_time"": ""14:07""}, {""place"": ""Crossmolina"", ""pickup_time"": ""14:20""}, {""place"": ""Islandeady"", ""pickup_time"": ""14:33""}, {""place"": ""Bangor Erris"", ""pickup_time"": ""14:38""}, {""place"": ""Newport"", ""pickup_time"": ""14:48""}, {""place"": ""Ballina"", ""pickup_time"": ""14:58""}, {""place"": ""Belmullet"", ""pickup_time"": ""15:08""}, {""place"": ""Mulranny"", ""pickup_time"": ""15:14""}, {""place"": ""Kiltimagh"", ""pickup_time"": ""15:25""}, {""place"": ""Ballycastle"", ""pickup_time"": ""15:38""}, {""place"": ""Ballyfarnon"", ""pickup_time"": ""15:53""}, {""place"": ""Foxford"", ""pickup_time"": ""16:02""}, {""place"": ""Ballyglass"", ""pickup_time"": ""16:16""}, {""place"": ""Ballyhaunis"", ""pickup_time"": ""16:24""}, {""place"": ""Louisburgh"", ""pickup_time"": ""16:33""}]"
5,R002,Route B,Mayo,Saturday,93,19,"[{""place"": ""Ballintubber"", ""pickup_time"": ""13:30""}, {""place"": ""Lecanvey"", ""pickup_time"": ""13:45""}, {""place"": ""Belderrig"", ""pickup_time"": ""13:58""}, {""place"": ""Claremorris"", ""pickup_time"": ""14:10""}, {""place"": ""Westport"", ""pickup_time"": ""14:21""}, {""place"": ""Crossmolina"", ""pickup_time"": ""14:31""}, {""place"": ""Islandeady"", ""pickup_time"": ""14:41""}, {""place"": ""Bangor Erris"", ""pickup_time"": ""14:51""}, {""place"": ""Newport"", ""pickup_time"": ""14:56""}, {""place"": ""Ballina"", ""pickup_time"": ""15:06""}, {""place"": ""Belmullet"", ""pickup_time"": ""15:12""}, {""place"": ""Mulranny"", ""pickup_time"": ""15:20""}, {""place"": ""Kiltimagh"", ""pickup_time"": ""15:34""}, {""place"": ""Ballycastle"", ""pickup_time"": ""15:44""}, {""place"": ""Ballyfarnon"", ""pickup_time"": ""15:50""}, {""place"": ""Foxford"", ""pickup_time"": ""15:58""}, {""place"": ""Ballyglass"", ""pickup_time"": ""16:08""}, {""place"": ""Ballyhaunis"", ""pickup_time"": ""16:14""}, {""place"": ""Louisburgh"", ""pickup_time"": ""16:23""}]"
6,R003,Route C,Kerry,Monday,64,19,"[{""place"": ""Annascaul"", ""pickup_time"": ""11:00""}, {""place"": ""Tarbert"", ""pickup_time"": ""11:08""}, {""place"": ""Lixnaw"", ""pickup_time"": ""11:17""}, {""place"": ""Waterville"", ""pickup_time"": ""11:25""}, {""place"": ""Blennerville"", ""pickup_time"": ""11:33""}, {""place"": ""Moyvane"", ""pickup_time"": ""11:46""}, {""place"": ""Ballybunion"", ""pickup_time"": ""11:55""}, {""place"": ""Aghadoe"", ""pickup_time"": ""12:02""}, {""place"": ""Killorglin"", ""pickup_time"": ""12:09""}, {""place"": ""Sneem"", ""pickup_time"": ""12:15""}, {""place"": ""Ballinskelligs"", ""pickup_time"": ""12:29""}, {""place"": ""Listowel"", ""pickup_time"": ""12:34""}, {""place"": ""Castleisland"", ""pickup_time"": ""12:47""}, {""place"": ""Glenbeigh"", ""pickup_time"": ""12:59""}, {""place"": ""Kenmare"", ""pickup_time"": ""13:11""}, {""place"": ""Tralee"", ""pickup_time"": ""13:24""}, {""place"": ""Cahersiveen"", ""pickup_time"": ""13:35""}, {""place"": ""Ardfert"", ""pickup_time"": ""13:47""}, {""place"": ""Abbeyfeale"", ""pickup_time"": ""13:52""}]"
7,R003,Route C,Kerry,Thursday,46,19,"[{""place"": ""Annascaul"", ""pickup_time"": ""11:00""}, {""place"": ""Tarbert"", ""pickup_time"": ""11:09""}, {""place"": ""Lixnaw"", ""pickup_time"": ""11:17""}, {""place"": ""Waterville"", ""pickup_time"": ""11:32""}, {""place"": ""Blennerville"", ""pickup_time"": ""11:45""}, {""place"": ""Moyvane"", ""pickup_time"": ""11:54""}, {""place"": ""Ballybunion"", ""pickup_time"": ""11:59""}, {""place"": ""Aghadoe"", ""pickup_time"": ""12:14""}, {""place"": ""Killorglin"", ""pickup_time"": ""12:27""}, {""place"": ""Sneem"", ""pickup_time"": ""12:40""}, {""place"": ""Ballinskelligs"", ""pickup_time"": ""12:46""}, {""place"": ""Listowel"", ""pickup_time"": ""12:52""}, {""place"": ""Castleisland"", ""pickup_time"": ""13:05""}, {""place"": ""Glenbeigh"", ""pickup_time"": ""13:13""}, {""place"": ""Kenmare"", ""pickup_time"": ""13:26""}, {""place"": ""Tralee"", ""pickup_time"": ""13:36""}, {""place"": ""Cahersiveen"", ""pickup_time"": ""13:48""}, {""place"": ""Ardfert"", ""pickup_time"": ""13:58""}, {""place"": ""Abbeyfeale"", ""pickup_time"": ""14:09""}]"
8,R003,Route C,Kerry,Tuesday,89,19,"[{""place"": ""Annascaul"", ""pickup_time"": ""11:00""}, {""place"": ""Tarbert"", ""pickup_time"": ""11:14""}, {""place"": ""Lixnaw"", ""pickup_time"": ""11:22""}, {""place"": ""Waterville"", ""pickup_time"": ""11:28""}, {""place"": ""Blennerville"", ""pickup_time"": ""11:33""}, {""place"": ""Moyvane"", ""pickup_time"": ""11:40""}, {""place"": ""Ballybunion"", ""pickup_time"": ""11:54""}, {""place"": ""Aghadoe"", ""pickup_time"": ""12:06""}, {""place"": ""Killorglin"", ""pickup_time"": ""12:14""}, {""place"": ""Sneem"", ""pickup_time"": ""12:26""}, {""place"": ""Ballinskelligs"", ""pickup_time"": ""12:33""}, {""place"": ""Listowel"", ""pickup_time"": ""12:46""}, {""place"": ""Castleisland"", ""pickup_time"": ""12:56""}, {""place"": ""Glenbeigh"", ""pickup_time"": ""13:10""}, {""place"": ""Kenmare"", ""pickup_time"": ""13:21""}, {""place"": ""Tralee"", ""pickup_time"": ""13:28""}, {""place"": ""Cahersiveen"", ""pickup_time"": ""13:37""}, {""place"": ""Ardfert"", ""pickup_time"": ""13:49""}, {""place"": ""Abbeyfeale"", ""pickup_time"": ""13:55""}]"
9,R003,Route C,Kerry,Saturday,114,19,"[{""place"": ""Annascaul"", ""pickup_time"": ""11:00""}, {""place"": ""Tarbert"", ""pickup_time"": ""11:15""}, {""place"": ""Lixnaw"", ""pickup_time"": ""11:29""}, {""place"": ""Waterville"", ""pickup_time"": ""11:44""}, {""place"": ""Blennerville"", ""pickup_time"": ""11:54""}, {""place"": ""Moyvane"", ""pickup_time"": ""12:00""}, {""place"": ""Ballybunion"", ""pickup_time"": ""12:10""}, {""place"": ""Aghadoe"", ""pickup_time"": ""12:16""}, {""place"": ""Killorglin"", ""pickup_time"": ""12:31""}, {""place"": ""Sneem"", ""pickup_time"": ""12:39""}, {""place"": ""Ballinskelligs"", ""pickup_time"": ""12:54""}, {""place"": ""Listowel"", ""pickup_time"": ""13:00""}, {""place"": ""Castleisland"", ""pickup_time"": ""13:13""}, {""place"": ""Glenbeigh"", ""pickup_time"": ""13:19""}, {""place"": ""Kenmare"", ""pickup_time"": ""13:30""}, {""place"": ""Tralee"", ""pickup_time"": ""13:44""}, {""place"": ""Cahersiveen"", ""pickup_time"": ""13:54""}, {""place"": ""Ardfert"", ""pickup_time"": ""14:05""}, {""place"": ""Abbeyfeale"", ""pickup_time"": ""14:18""}]"
